app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_original,steam_deck,real,tags
1010890,Touhou Fantasia / 东方梦想曲,2019-07-19,TRUE,FALSE,FALSE,Overwhelmingly Positive,95,1405,0.0,TRUE,1,"['Free to Play', 'Action', 'Indie', 'Bullet Hell', 'Anime', 'Faith', ""Shoot 'Em Up"", 'Female Protagonist', 'Difficult', 'Singleplayer', 'Cute', 'Great Soundtrack']"
1486440,Graze Counter GM,2023-01-18,TRUE,FALSE,FALSE,Very Positive,98,65,14.99,TRUE,1,"['Action', 'Bullet Hell', ""Shoot 'Em Up"", 'Anime', 'Arcade', 'Casual', 'Pixel Graphics', 'Female Protagonist', '2D', 'Indie', 'Cute', 'Singleplayer', 'Sci-fi', 'Mechs', 'Difficult', ""1990's"", 'Dark Fantasy', 'Shooter', 'Lore-Rich', 'Story Rich']"
1526620,Touhou Blooming Chaos 2 - Chara Pack 2:Flandre Scarlet/Komeji Koishi/Aki Minoriko/Tsukumo Yatsuhashi/Yorigami Jyoon,2021-06-25,TRUE,FALSE,FALSE,Positive,100,11,2.99,TRUE,0,"['Adventure', 'RPG', 'Indie', 'Action', 'Bullet Hell', 'Faith', 'Pixel Graphics', ""Shoot 'Em Up""]"
469890,Space Codex,2016-05-17,TRUE,FALSE,FALSE,Very Positive,89,200,0.99,TRUE,0,"['Casual', 'Retro', ""Shoot 'Em Up"", 'Bullet Hell', 'Arcade']"
654500,Super XYX,2020-08-10,TRUE,FALSE,FALSE,Very Positive,93,74,9.99,TRUE,1,"['Action', 'Indie', 'Retro', ""Shoot 'Em Up"", 'Bullet Hell', 'Arcade']"
1613580,ARRIVAL: ZERO EARTH,2022-10-11,TRUE,FALSE,FALSE,Very Positive,90,62,5.99,TRUE,0,"['Early Access', 'Action Roguelike', 'RPG', 'Roguelite', 'Arena Shooter', 'Top-Down Shooter', ""Shoot 'Em Up"", 'Roguelike', 'Isometric', 'Bullet Hell', 'Supernatural', 'Action', 'Top-Down', 'Procedural Generation', 'Shooter', 'Arcade', ""1990's"", 'Destruction', 'Controller', 'Singleplayer']"
298280,XenoRaptor,2019-12-24,TRUE,TRUE,TRUE,Very Positive,82,121,9.99,TRUE,0,"['Action', 'Indie', 'Bullet Hell', 'Space', 'Twin Stick Shooter', 'Shooter', 'Co-op', 'Arcade', ""Shoot 'Em Up"", 'Early Access']"
1163290,Vortex Attack EX,2019-10-24,TRUE,FALSE,FALSE,Positive,86,15,9.99,TRUE,1,"['Bullet Hell', ""Shoot 'Em Up"", 'Casual', 'PvP', 'Difficult', 'Shooter', 'Arcade', '2D', 'Gun Customization', 'Action', 'Sci-fi', 'Science', 'Space', 'Score Attack', 'War', 'Retro', 'Inventory Management', 'Co-op', 'Local Co-Op', 'Multiplayer']"
855850,Space Elite Force,2018-05-17,TRUE,FALSE,TRUE,Very Positive,91,138,2.99,TRUE,0,"['Bullet Hell', ""Shoot 'Em Up"", 'Gun Customization', 'Side Scroller', 'Pixel Graphics', 'Arcade', '2D', 'Controller', 'Action', 'Casual', 'Colorful', 'Jet', 'Space', 'Sci-fi', 'Score Attack', 'Old School', 'Retro', 'Short', 'Shooter', 'Local Co-Op']"
1279420,Dragon Blaze,2020-08-03,TRUE,FALSE,FALSE,Positive,96,33,9.99,TRUE,1,"[""Shoot 'Em Up"", 'Arcade', 'Shooter', 'Score Attack', 'Pixel Graphics', '2D', 'Fantasy', 'Dark Fantasy', 'Magic', 'Third-Person Shooter', 'Colorful', 'Medieval', 'Singleplayer', 'Action', 'Local Co-Op', 'Adventure', 'Multiplayer', 'Local Multiplayer', 'Co-op', 'Bullet Hell']"
610410,PAWARUMI,2018-01-30,TRUE,TRUE,TRUE,Positive,91,48,14.99,TRUE,1,"['2.5D', 'Arcade', 'Singleplayer', 'Controller', 'Action', ""Shoot 'Em Up"", 'Bullet Hell', 'Shooter', 'Score Attack', '3D', 'Female Protagonist', 'Difficult', 'Sci-fi', 'Space', 'Indie', 'Colorful', 'Great Soundtrack', 'Fast-Paced', 'Futuristic', 'Top-Down Shooter']"
891790,Devil Engine,2019-02-20,TRUE,FALSE,FALSE,Very Positive,88,98,19.99,TRUE,1,"['Action', ""Shoot 'Em Up"", 'Arcade', 'Bullet Hell', 'Great Soundtrack', 'Pixel Graphics', '2D', 'Retro']"
1556729,Capcom Arcade Stadium：Progear,2021-05-24,TRUE,FALSE,FALSE,Positive,92,13,1.99,TRUE,1,"['Action', ""Shoot 'Em Up"", 'Bullet Hell']"
1566410,Touhou Kouryudou ~ Unconnected Marketeers.,2021-05-03,TRUE,FALSE,FALSE,Overwhelmingly Positive,97,1560,14.99,TRUE,1,"['Bullet Hell', ""Shoot 'Em Up"", 'Action', 'Shooter', 'Faith', 'Singleplayer', 'Great Soundtrack', 'Cute', 'Indie', 'Female Protagonist', 'Difficult', 'Roguelite', 'Anime', '2D', 'Arcade']"
378770,ESCHATOS,2015-09-18,TRUE,FALSE,FALSE,Very Positive,96,175,14.99,TRUE,1,"['Action', ""Shoot 'Em Up"", 'Great Soundtrack', 'Bullet Hell', 'Arcade']"
347160,Steredenn,2015-10-01,TRUE,TRUE,TRUE,Very Positive,88,532,12.99,TRUE,0,"[""Shoot 'Em Up"", 'Pixel Graphics', 'Fast-Paced', 'Arcade', 'Roguelike', 'Roguelite', 'Action Roguelike', 'Bullet Hell', 'Shooter', 'Score Attack', 'Local Co-Op', 'Action', 'Side Scroller', '2D', 'Sci-fi', 'Co-op', ""1990's"", 'Combat', 'Controller', 'Local Multiplayer']"
368570,Beat Da Beat,2016-03-10,TRUE,FALSE,FALSE,Very Positive,92,432,1.99,TRUE,1,"['Indie', 'Bullet Hell', 'Rhythm', 'Arcade', 'Great Soundtrack', 'Pixel Graphics', 'Music', 'Action', 'Singleplayer', 'Difficult', ""Shoot 'Em Up""]"
432980,INVERSUS Deluxe,2016-08-16,TRUE,FALSE,FALSE,Very Positive,89,229,14.99,TRUE,0,"['Bullet Hell', ""Shoot 'Em Up"", 'Top-Down Shooter', 'PvP', 'Competitive', 'Puzzle', 'Shooter', 'Arcade', '2D', 'Top-Down', 'Controller', 'Team-Based', 'Action', 'Casual', 'Abstract', 'Minimalist', 'Family Friendly', 'Score Attack', 'Retro', 'Old School']"
1957590,Armored Lab Force VULVEHICLES,2022-08-25,TRUE,FALSE,FALSE,Positive,100,15,9.99,TRUE,0,"['Action', 'Casual', 'Shooter', ""Shoot 'Em Up"", 'Bullet Hell', 'Side Scroller', '2D', 'Cute', 'Anime', 'Cartoon', 'Pixel Graphics', '1980s', ""1990's"", 'Sci-fi', 'Comedy', 'Robots', 'Futuristic', 'Dark Humor', 'Science', 'Funny']"
1079160,Touhou Kikeijuu ~ Wily Beast and Weakest Creature.,2019-09-09,TRUE,FALSE,FALSE,Overwhelmingly Positive,97,897,14.99,TRUE,1,"['Indie', 'Bullet Hell', 'Great Soundtrack', 'Faith', ""Shoot 'Em Up"", 'Action', 'Female Protagonist', 'Difficult', 'Singleplayer', 'Anime', 'Arcade', '2D', 'Cute', 'Lore-Rich', 'Fantasy', 'Story Rich', 'Memes']"
1880840,Dead End City,2022-10-13,TRUE,FALSE,FALSE,Positive,90,20,14.99,TRUE,1,"['Action', ""Shoot 'Em Up"", 'Shooter', '2D', '1980s', 'Top-Down Shooter', 'Arcade', 'Post-apocalyptic', 'Bullet Hell', 'Pixel Graphics', 'Vehicular Combat', 'Score Attack', 'Old School', 'Retro', 'Top-Down', ""1990's"", 'Linear', 'Multiple Endings', 'Dystopian', 'Sci-fi']"
252310,Syder Arcade,2013-10-24,TRUE,TRUE,TRUE,Very Positive,86,429,9.99,TRUE,1,"[""Shoot 'Em Up"", 'Indie', 'Action', 'Arcade', 'Bullet Hell', 'Shooter', 'Sci-fi', 'Retro', 'Space', 'Side Scroller', 'Singleplayer', 'Great Soundtrack', 'Difficult', 'Old School', 'Survival']"
1100160,Touhou Seirensen ~ Undefined Fantastic Object.,2020-06-05,TRUE,FALSE,FALSE,Very Positive,97,214,14.99,TRUE,1,"['Indie', 'Action', ""Shoot 'Em Up"", 'Bullet Hell', 'Female Protagonist', 'Faith', 'Singleplayer', '2D', 'Great Soundtrack', 'Difficult', 'Anime', 'Arcade']"
1316800,Destropolis,2020-08-19,TRUE,FALSE,FALSE,Very Positive,88,141,5.99,TRUE,0,"['Action Roguelike', 'Bullet Hell', 'Top-Down Shooter', ""Shoot 'Em Up"", 'Twin Stick Shooter', 'Difficult', 'Survival', 'Arcade', 'Roguelike', 'RPG', 'Split Screen', 'Top-Down', 'Cyberpunk', 'Bullet Time', 'Procedural Generation', 'Action', 'Indie', 'Local Co-Op', 'Sci-fi', 'Score Attack']"
1133300,Sisters Royale: Five Sisters Under Fire,2020-11-26,TRUE,FALSE,FALSE,Positive,100,23,13.99,TRUE,1,"['Bullet Hell', 'Top-Down Shooter', 'Singleplayer', 'Action', 'Arcade', '2D', 'Indie', 'Anime', ""Shoot 'Em Up""]"
454890,Project Starship,2016-04-05,TRUE,FALSE,FALSE,Very Positive,82,294,2.99,TRUE,1,"['Indie', 'Action', 'Casual', 'Bullet Hell', ""Shoot 'Em Up"", '2D', 'Pixel Graphics']"
498470,Switch 'N' Shoot,2016-10-17,TRUE,TRUE,TRUE,Very Positive,95,98,3.99,TRUE,1,"[""Shoot 'Em Up"", 'Score Attack', 'Bullet Hell', 'Arcade', 'Perma Death', 'Difficult', 'Casual', 'Shooter', 'Retro', '2D', 'Minimalist', 'Singleplayer', 'Pixel Graphics', 'Fast-Paced', 'Family Friendly', 'Old School', 'Indie', 'Sci-fi', 'Space', 'Action']"
359140,Kick Ass Commandos,2016-11-17,TRUE,TRUE,TRUE,Very Positive,93,158,9.99,TRUE,0,"['Action', 'Indie', 'Adventure', 'Strategy', 'Top-Down Shooter', 'Bullet Hell', ""Shoot 'Em Up"", 'Pixel Graphics', 'Retro', 'Shooter', 'Fast-Paced', 'Singleplayer', 'War', 'Exploration', 'Old School', 'Difficult', 'Action-Adventure', 'Replay Value', 'Character Customization', 'Great Soundtrack']"
